16-10-2025 11:51:40 | INFO | Task: 003_AbrirSiesa8.5 | Desc: Se va a iniciar el aplicativo de Siesa 8.5.
16-10-2025 11:51:42 | TRACE | Task: 003_AbrirSiesa8.5 | Desc: Se minimizan todas la ventanas.
16-10-2025 11:52:06 | INFO | Task: 003_AbrirSiesa8.5 | Desc: Se va a iniciar el aplicativo de Siesa 8.5.
16-10-2025 11:52:08 | TRACE | Task: 003_AbrirSiesa8.5 | Desc: Se minimizan todas la ventanas.
16-10-2025 11:52:08 | TRACE | Task: 003_AbrirSiesa8.5 | Desc: Se inicia la el aplicativo Siesa 8.5.
16-10-2025 12:01:15 | INFO | Task: 003_AbrirSiesa8.5 | Desc: Se va a iniciar el aplicativo de Siesa 8.5.
16-10-2025 12:01:16 | TRACE | Task: 003_AbrirSiesa8.5 | Desc: Se minimizan todas la ventanas.
16-10-2025 12:01:17 | TRACE | Task: 003_AbrirSiesa8.5 | Desc: Se inicia la el aplicativo Siesa 8.5.
16-10-2025 12:08:11 | INFO | Task: 003_AbrirSiesa8.5 | Desc: Se va a iniciar el aplicativo de Siesa 8.5.
16-10-2025 12:08:11 | INFO | Task: DeaultTask | Desc: Esperando 1 segundo antes de ejecutar pyautogui.hotkey('win', 'd').
16-10-2025 12:08:12 | INFO | Task: DeaultTask | Desc: Enviando hotkey 'win' + 'd' para mostrar el escritorio.
16-10-2025 12:08:12 | TRACE | Task: 003_AbrirSiesa8.5 | Desc: Se minimizan todas la ventanas.
16-10-2025 12:08:13 | INFO | Task: DeaultTask | Desc: Intentando ejecutar: C:/Users/administrator.ENERGIZANDO/Desktop/SISTEMA UNO CLOUD.lnk
16-10-2025 12:08:13 | INFO | Task: DeaultTask | Desc: Ejecutando: C:/Users/administrator.ENERGIZANDO/Desktop/SISTEMA UNO CLOUD.lnk
16-10-2025 12:08:13 | TRACE | Task: 003_AbrirSiesa8.5 | Desc: Se inicia la el aplicativo Siesa 8.5.
16-10-2025 12:11:24 | INFO | Task: 003_AbrirSiesa8.5 | Desc: Se va a iniciar el aplicativo de Siesa 8.5.
16-10-2025 12:11:24 | INFO | Task: DeaultTask | Desc: Esperando 1 segundo antes de ejecutar pyautogui.hotkey('win', 'd').
16-10-2025 12:11:25 | INFO | Task: DeaultTask | Desc: Enviando hotkey 'win' + 'd' para mostrar el escritorio.
16-10-2025 12:11:26 | INFO | Task: DeaultTask | Desc: Intentando ejecutar: C:/Users/administrator.ENERGIZANDO/Desktop/SISTEMA UNO CLOUD.lnk
