Empresa,"Tipo
Docto","Nro
Docto",Detalle,DOCUMENTO CRUCE
Ticenergi,NQ,26,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,27,COMPROBANTE DE CAUSACION,
Ticenergi,NI,129,ECANOLA TRASLADO AL COSTO NOMINA 2021,
Ticenergi,NQ,28,COMPROBANTE DE CAUSACION,
Ticenergi,LP,42,COMPROBANTE DE CAUSACION,
Ticenergi,NI,138,ECANOLA AJUSTES,
Ticenergi,NI,189,LRESTREP/MAYOR VALOR AJUSTADO EN NI 138,
Ticenergi,NQ,26,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,27,COMPROBANTE DE CAUSACION,
Ticenergi,NI,129,ECANOLA TRASLADO AL COSTO NOMINA 2021,
Ticenergi,NQ,28,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,29,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,30,COMPROBANTE DE CAUSACION,
Ticenergi,NI,138,ECANOLA TRASLADO AL GASTO NOMINA 2021,
Ticenergi,NQ,31,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,32,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,33,COMPROBANTE DE CAUSACION,
Ticenergi,NI,145,ECANOLA TRASLADO AL GFASTO NOMINA 2021,
Ticenergi,NQ,34,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,35,COMPROBANTE DE CAUSACION,
Ticenergi,NI,170,ECANOLA TRASLADO AL GASTO NOMINA JUNIO 2,
Ticenergi,NQ,36,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,37,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,38,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,39,COMPROBANTE DE CAUSACION,
Ticenergi,NI,192,LR-RECLASIF NQ JULIO Y AGTO AL COSTO LR-RECLASIF NQ JULIO Y AGTO AL COSTO,
Ticenergi,NQ,26,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,27,COMPROBANTE DE CAUSACION,
Ticenergi,NI,129,ECANOLA TRASLADO AL COSTO NOMINA 2021,
Ticenergi,NQ,28,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,29,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,30,COMPROBANTE DE CAUSACION,
Ticenergi,NI,138,ECANOLA TRASLADO AL GASTO NOMINA 2021,
Ticenergi,NQ,31,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,32,COMPROBANTE DE CAUSACION,
Ticenergi,LP,44,COMPROBANTE DE CAUSACION,
Ticenergi,NI,145,ECANOLA TRASLADO AL GFASTO NOMINA 2021,
Ticenergi,NQ,26,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,27,COMPROBANTE DE CAUSACION,
Ticenergi,NI,129,ECANOLA TRASLADO AL COSTO NOMINA 2021,
Ticenergi,NQ,28,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,29,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,30,COMPROBANTE DE CAUSACION,
Ticenergi,NI,138,ECANOLA TRASLADO AL GASTO NOMINA 2021,
Ticenergi,NQ,31,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,32,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,33,COMPROBANTE DE CAUSACION,
Ticenergi,NI,145,ECANOLA TRASLADO AL GFASTO NOMINA 2021,
Ticenergi,NQ,34,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,35,COMPROBANTE DE CAUSACION,
Ticenergi,NI,170,ECANOLA TRASLADO AL GASTO NOMINA JUNIO 2,
Ticenergi,NQ,36,COMPROBANTE DE CAUSACION,
Ticenergi,LP,48,COMPROBANTE DE CAUSACION,
Ticenergi,NI,192,LR-RECLASIF NQ JULIO Y AGTO AL COSTO LR-RECLASIF NQ JULIO Y AGTO AL COSTO,
Ticenergi,NQ,26,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,27,COMPROBANTE DE CAUSACION,
Ticenergi,NI,129,ECANOLA TRASLADO AL COSTO NOMINA 2021,
Ticenergi,NQ,28,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,29,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,30,COMPROBANTE DE CAUSACION,
Ticenergi,NI,138,ECANOLA TRASLADO AL GASTO NOMINA 2021,
Ticenergi,NQ,31,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,32,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,33,COMPROBANTE DE CAUSACION,
Ticenergi,NI,145,ECANOLA TRASLADO AL GFASTO NOMINA 2021,
Ticenergi,NQ,34,COMPROBANTE DE CAUSACION,
Ticenergi,LP,45,COMPROBANTE DE CAUSACION,
Ticenergi,NI,170,ECANOLA TRASLADO AL GASTO NOMINA JUNIO 2,
Ticenergi,NI,77,RECLACIFICACION CTA 510506 A 720506,
Ticenergi,NQ,19,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,20,COMPROBANTE DE CAUSACION,
Ticenergi,NI,95,ECANOLA RECLASIFICACION CTA 510506 A 720 506,
Ticenergi,NQ,26,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,27,COMPROBANTE DE CAUSACION,
Ticenergi,NI,129,ECANOLA TRASLADO AL COSTO NOMINA 2021,
Ticenergi,NQ,28,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,29,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,30,COMPROBANTE DE CAUSACION,
Ticenergi,NI,138,ECANOLA TRASLADO AL GASTO NOMINA 2021,
Ticenergi,NQ,31,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,32,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,33,COMPROBANTE DE CAUSACION,
Ticenergi,NI,145,ECANOLA TRASLADO AL GFASTO NOMINA 2021,
Ticenergi,NQ,34,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,35,COMPROBANTE DE CAUSACION,
Ticenergi,NI,170,ECANOLA TRASLADO AL GASTO NOMINA JUNIO 2,
Ticenergi,NQ,36,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,37,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,38,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,39,COMPROBANTE DE CAUSACION,
Ticenergi,NI,192,LR-RECLASIF NQ JULIO Y AGTO AL COSTO LR-RECLASIF NQ JULIO Y AGTO AL COSTO,
Ticenergi,NQ,26,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,27,COMPROBANTE DE CAUSACION,
Ticenergi,NI,129,ECANOLA TRASLADO AL COSTO NOMINA 2021,
Ticenergi,NQ,28,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,29,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,30,COMPROBANTE DE CAUSACION,
Ticenergi,NI,138,ECANOLA TRASLADO AL GASTO NOMINA 2021,
Ticenergi,NQ,31,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,32,COMPROBANTE DE CAUSACION,
Ticenergi,NQ,33,COMPROBANTE DE CAUSACION,
